base_axis  label='MSBR(1)'            solids=1 vol=    38461505 bboxX=[  -413.37,   239.10] bboxY=[    -0.54,   259.00] bboxZ=[  -230.88,   232.20]
s_axis     label='SHELL(2)'           solids=0 vol=        1578 bboxX=[  -111.24,   -98.76] bboxY=[   270.26,   282.74] bboxZ=[   214.00,   234.00]
s_axis     label='SHELL(3)'           solids=0 vol=        1578 bboxX=[  -111.24,   -98.76] bboxY=[   310.26,   322.74] bboxZ=[   214.00,   234.00]
s_axis     label='SHELL(4)'           solids=0 vol=        1578 bboxX=[    98.76,   111.24] bboxY=[   270.26,   282.74] bboxZ=[   214.00,   234.00]
s_axis     label='SHELL(5)'           solids=0 vol=        1578 bboxX=[    98.76,   111.24] bboxY=[   310.26,   322.74] bboxZ=[   214.00,   234.00]
s_axis     label='SHELL(6)'           solids=0 vol=        1578 bboxX=[  -111.24,   -98.76] bboxY=[   270.26,   282.74] bboxZ=[  -234.00,  -214.00]
s_axis     label='SHELL(7)'           solids=0 vol=        1578 bboxX=[  -111.24,   -98.76] bboxY=[   310.26,   322.74] bboxZ=[  -234.00,  -214.00]
s_axis     label='SHELL(8)'           solids=0 vol=        1578 bboxX=[    98.76,   111.24] bboxY=[   270.26,   282.74] bboxZ=[  -234.00,  -214.00]
s_axis     label='SHELL(9)'           solids=0 vol=        1578 bboxX=[    98.76,   111.24] bboxY=[   310.26,   322.74] bboxZ=[  -234.00,  -214.00]
s_axis     label='MSBR(1)'            solids=1 vol=    36299528 bboxX=[  -291.08,   317.70] bboxY=[   225.00,   751.14] bboxZ=[  -253.24,   311.40]
s_axis     label='MSBR(1)001'         solids=1 vol=        3598 bboxX=[   -22.96,   312.96] bboxY=[   372.04,   707.96] bboxZ=[    66.00,    80.00]
s_axis     label='MSBR(1)002'         solids=1 vol=        3598 bboxX=[   -22.96,   312.96] bboxY=[   372.04,   707.96] bboxZ=[    66.00,    80.00]
s_axis     label='MSBR(1)003'         solids=1 vol=        3598 bboxX=[   -22.96,   312.96] bboxY=[   372.04,   707.96] bboxZ=[    66.00,    80.00]
s_axis     label='MSBR(1)004'         solids=1 vol=        3598 bboxX=[   -22.96,   312.96] bboxY=[   372.04,   707.96] bboxZ=[    66.00,    80.00]
s_axis     label='MSBR(1)005'         solids=1 vol=     4328418 bboxX=[   -22.96,   312.96] bboxY=[   372.04,   707.96] bboxZ=[    66.00,   134.50]
s_axis     label='MSBR(1)006'         solids=6 vol=    40642175 bboxX=[  -291.08,   317.70] bboxY=[   225.00,   751.14] bboxZ=[  -253.24,   311.40]
s_axis     label='X-axis'             solids=0 vol=           0 bboxX=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxY=[     0.00,     0.00] bboxZ=[     0.00,     0.00]
s_axis     label='Y-axis'             solids=0 vol=           0 bboxX=[     0.00,     0.00] bboxY=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxZ=[     0.00,     0.00]
s_axis     label='Z-axis'             solids=0 vol=           0 bboxX=[     0.00,     0.00] bboxY=[     0.00,     0.00] bboxZ=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00]
s_axis     label='XY-plane'           solids=0 vol=           0 bboxX=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxY=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxZ=[     0.00,     0.00]
s_axis     label='XZ-plane'           solids=0 vol=           0 bboxX=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxY=[     0.00,     0.00] bboxZ=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00]
s_axis     label='YZ-plane'           solids=0 vol=           0 bboxX=[     0.00,     0.00] bboxY=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00] bboxZ=[-10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00,10000000000000000159028911097599180468360808563945281389781327557747838772170381060813469985856815104.00]
s_axis     label='Origin001'          solids=0 vol=           0 bboxX=[     0.00,     0.00] bboxY=[     0.00,     0.00] bboxZ=[     0.00,     0.00]
l_axis     label='MSBR(1)'            solids=1 vol=    31573532 bboxX=[   -29.36,   319.36] bboxY=[   358.84,  1820.00] bboxZ=[    44.55,   345.40]
l_axis     label='MSBR(2)'            solids=1 vol=     1481500 bboxX=[    44.88,   347.67] bboxY=[   514.11,  1779.17] bboxZ=[   268.10,   339.41]
u_axis     label='MSBR(1)'            solids=1 vol=    31378499 bboxX=[     3.02,   663.50] bboxY=[  1525.64,  2092.82] bboxZ=[  -204.24,   348.20]
u_axis     label='SHELL(8)'           solids=0 vol=         561 bboxX=[   239.34,   247.66] bboxY=[  2075.00,  2091.00] bboxZ=[    45.84,    54.16]
u_axis     label='SHELL(9)'           solids=0 vol=         561 bboxX=[   239.34,   247.66] bboxY=[  2075.00,  2091.00] bboxZ=[   -54.16,   -45.84]
u_axis     label='SHELL(10)'          solids=0 vol=         561 bboxX=[   339.34,   347.66] bboxY=[  2075.00,  2091.00] bboxZ=[    45.84,    54.16]
u_axis     label='SHELL(11)'          solids=0 vol=         561 bboxX=[   339.34,   347.66] bboxY=[  2075.00,  2091.00] bboxZ=[   -54.16,   -45.84]
r_axis     label='MSBR(1)'            solids=1 vol=     7226288 bboxX=[   663.05,  1458.65] bboxY=[  1811.34,  1988.66] bboxZ=[   -75.92,    82.03]
r_axis     label='SHELL(3)'           solids=0 vol=         561 bboxX=[   952.34,   960.66] bboxY=[  1941.00,  1957.00] bboxZ=[    20.84,    29.16]
r_axis     label='SHELL(4)'           solids=0 vol=         561 bboxX=[   952.34,   960.66] bboxY=[  1941.00,  1957.00] bboxZ=[   -29.16,   -20.84]
r_axis     label='SHELL(5)'           solids=0 vol=         561 bboxX=[  1152.34,  1160.66] bboxY=[  1941.00,  1957.00] bboxZ=[    20.84,    29.16]
r_axis     label='SHELL(6)'           solids=0 vol=         561 bboxX=[  1152.34,  1160.66] bboxY=[  1941.00,  1957.00] bboxZ=[   -29.16,   -20.84]
b_axis     label='MSBR(1)'            solids=1 vol=     3132595 bboxX=[  1274.30,  1528.50] bboxY=[  1804.32,  1995.68] bboxZ=[   -98.00,   127.45]
t_axis     label='SHELL(2)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1895.84,  1904.16] bboxZ=[   -44.16,   -35.84]
t_axis     label='SHELL(3)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1930.48,  1938.80] bboxZ=[   -24.16,   -15.84]
t_axis     label='SHELL(4)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1930.48,  1938.80] bboxZ=[    15.84,    24.16]
t_axis     label='SHELL(5)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1895.84,  1904.16] bboxZ=[    35.84,    44.16]
t_axis     label='SHELL(6)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1861.20,  1869.52] bboxZ=[    15.84,    24.16]
t_axis     label='SHELL(7)'           solids=0 vol=         491 bboxX=[  1531.00,  1545.00] bboxY=[  1861.20,  1869.52] bboxZ=[   -24.16,   -15.84]
t_axis     label='MSBR(1)'            solids=1 vol=      128532 bboxX=[  1528.33,  1545.00] bboxY=[  1842.27,  1957.73] bboxZ=[   -57.63,    53.13]
DONE
